9051;9177;10531;10923;11120;10189;11249;10609;10970;10333;11324;10474;11280;10711;11512;10877;11704;11244;11756;11244;11517;10973;12058;11369;10324;9282;10660;9568;10815;9452;10781;9730
575;546;533;508;382;400;267;298;220;215;208;177;166;177;161;166;344;278;394;337;399;394;472;500;469;497;480;530;470;505;398;445
33274;31919;26862;28491;28610;25810;28100;26707;27625;26239;28546;26639;28388;27264;29000;27612;29622;28551;29945;28768;29547;28282;30940;29399;29014;28554;29187;28549;29747;28261;29489;29059
1205;1265;963;1042;726;886;694;878;477;639;437;584;397;469;507;553;1194;1133;1355;1348;1548;1688;1592;1714;1685;1816;1878;1973;1519;1745;1257;1494
12596;13817;15199;15638;15622;14425;16104;14934;15894;14709;16398;14939;16308;15294;16666;15496;16998;16032;17131;16113;16834;15721;17629;16354;16770;15769;16772;15685;17015;15478;16888;15940
559;534;478;497;464;469;433;437;324;316;256;300;248;249;262;300;606;513;657;605;746;769;926;970;935;986;919;987;857;993;745;839
26839;23946;24576;25946;25944;23496;26451;24758;25917;24186;26801;24591;26739;25238;27362;25611;27921;26499;28213;26659;27585;25953;28905;26999;26141;25026;25850;24539;26207;24287;25935;24867
988;1098;816;1028;645;765;540;632;401;486;394;477;376;457;455;474;1001;843;1005;960;1144;1191;1266;1341;1425;1495;1273;1493;1215;1380;1076;1308
44670;49081;35437;38867;39309;34597;37026;37763;36469;37022;37583;37447;37348;38298;38144;38773;38858;40082;39349;40330;38545;39342;40433;40886;36986;35936;36702;35233;37081;34768;36587;35511
2011;2206;1640;1817;1186;1492;1128;1335;906;819;713;871;618;689;765;818;1623;1408;1609;1565;1861;2020;2044;1969;2089;2067;1824;1987;1611;1742;1287;1521
18564;15957;18155;16816;18346;18709;18320;14978;17883;14453;18308;14621;18155;14909;18470;15021;18914;15522;19737;15941;19226;15640;19844;16094;20231;17480;20128;16808;20290;16480;20076;16842
2400;2278;1642;1902;1186;1257;963;1020;752;809;536;683;494;664;820;757;1586;1175;1388;1274;1254;1336;1506;1618;1365;1359;1342;1404;992;1191;762;885
15232;12936;14993;14378;14928;14655;16011;13553;15662;13254;16041;13359;15969;13618;16241;13772;16584;14242;16892;14381;16624;14161;17389;14715;17046;15002;16928;14509;17176;14390;16854;14716
1044;1027;927;929;891;838;658;645;537;476;454;464;355;383;421;414;961;789;976;888;1131;1054;1186;1055;1406;1097;1209;1119;885;891;782;749
14023;11898;14038;13139;13878;13775;14772;12140;14364;11841;14772;12023;14767;12322;15069;12450;15334;12827;15547;12974;15334;12804;16051;13342;18843;16385;19103;16014;19370;15871;19217;16307
1124;989;1110;946;631;621;480;553;407;451;412;439;358;373;295;354;761;661;817;811;830;933;970;1023;1109;1110;1038;1145;878;1089;752;972
31123;27299;30833;28218;33326;27092;33449;25673;31442;25965;31622;25880;32334;25524;32585;25757;32260;26717;32858;26945;32946;27313;33148;27786;34337;28840;34369;29202;33880;28438;34638;28488
5520;4744;4406;3981;4000;3311;2615;2842;1992;2239;1655;2020;1391;1741;1275;1646;2696;2783;3215;3371;3311;3690;3761;4137;3550;3895;3014;3560;2456;3043;1369;2079
25623;18664;25611;23000;27606;22034;27573;21012;25617;20977;25596;20805;26203;20461;26114;20801;26091;21337;26438;21161;26085;21220;26071;21438;27344;22329;26799;22288;26534;21808;27399;21949
5052;3819;4471;3415;2977;2561;1807;2035;1431;1665;954;1251;691;912;602;729;1505;1415;1436;1557;1424;1660;1577;1845;1507;1847;1188;1479;1048;1392;675;951
12814;10902;12446;10895;12585;10450;12827;10246;13194;10696;13240;10507;13445;10084;13410;10194;13406;10544;13665;10463;13515;10483;13596;10671;13096;10427;13004;10475;12827;10246;13123;10256
1868;1577;1697;1486;1569;1385;1251;1446;934;1082;658;659;515;645;465;501;998;834;976;922;1116;1148;1140;1073;1135;1066;917;930;699;758;379;429
17308;14659;16555;15134;16741;13226;14453;14445;17702;14758;18038;14917;18514;14727;18576;15121;18665;15771;19081;15907;18899;15737;18818;15820;17292;14345;17503;14682;17327;14334;17683;14398
